word,pre_share_recent,post_share,counterfactual,delta,ratio,banned,selected
well,0.12201889652973348,0.16002209938921425,0.12201889652973348,0.038003202859480764,1.311453421890438,False,False
concerns,0.025040665276492294,0.06296875036609373,0.025040665276492294,0.03792808508960144,2.5146596414595903,False,True
making,0.06957504675789823,0.10716225100352286,0.06957504675789823,0.03758720424562463,1.5402397266999708,True,False
statistics,0.007628086770943274,0.04497205190432561,0.007628086770943274,0.03734396513338234,5.895587354306467,False,True
create,0.037726040937634125,0.07499715788935124,0.037726040937634125,0.037271116951717115,1.9879413801551808,False,True
necessary,0.014451990291236805,0.05156178490891959,0.014451990291236805,0.03710979461768279,3.5677981973309865,False,True
beloved,0.01367674297583705,0.050560156052041866,0.01367674297583705,0.03688341307620482,3.6967979979858807,False,True
access,0.07014383978975959,0.10627532677069114,0.07014383978975959,0.03613148698093155,1.5151056327858237,True,False
contribute,0.008673143683530634,0.0446569963100993,0.008673143683530634,0.03598385262656866,5.148882336043633,False,True
unique,0.012233269940304556,0.04806191068009152,0.012233269940304556,0.03582864073978696,3.9287868995470707,False,True
every,0.11488562865797462,0.15063973663910743,0.11488562865797462,0.03575410798113281,1.3112148003087154,False,False
reconsider,0.006109758019566606,0.040881206702092616,0.006109758019566606,0.03477144868252601,6.691133522992211,False,True
public,0.09463036282173443,0.12933643748099727,0.09463036282173443,0.03470607465926284,1.3667541117288378,True,False
high,0.07634775435067391,0.1100103046672669,0.07634775435067391,0.03366255031659299,1.4409108113642357,True,False
voice,0.033091239507160676,0.06626797965622898,0.033091239507160676,0.0331767401490683,2.002583784807732,False,True
system,0.057191035767608145,0.08947603975796908,0.057191035767608145,0.03228500399036094,1.5645116154487715,False,False
safer,0.01476705264616173,0.04681553930453651,0.01476705264616173,0.03204848665837478,3.1702696825357943,False,True
life,0.11626908071930657,0.14821348027846626,0.11626908071930657,0.03194439955915969,1.274745438439295,True,False
countless,0.008070542079028782,0.039764304929331834,0.008070542079028782,0.03169376285030305,4.927092200245007,False,True
into,0.16360999032859583,0.19528960103287307,0.16360999032859583,0.031679610704277245,1.1936288281702825,False,False
services,0.0444111788397737,0.0756856222420412,0.0444111788397737,0.0312744434022675,1.7042020549623147,True,False
education,0.040690747943371235,0.07133221102010745,0.040690747943371235,0.030641463076736215,1.753032682500197,True,False
children,0.10966914657463041,0.14020726646625614,0.10966914657463041,0.030538119891625734,1.278456802532373,True,False
justice,0.03317560259554971,0.06363784579153328,0.03317560259554971,0.03046224319598357,1.9182122045333965,True,False
living,0.05010269592824168,0.08048305227061316,0.05010269592824168,0.030380356342371476,1.6063617092757438,True,False
request,0.03854265208266197,0.06888505054239691,0.03854265208266197,0.030342398459734937,1.7872421024547027,False,False
providing,0.022306642234285776,0.05259852632785944,0.022306642234285776,0.030291884093573664,2.3579759685666364,False,True
decision,0.04661186815489751,0.07656395517383424,0.04661186815489751,0.02995208701893673,1.6425849940062884,False,False
cause,0.04313526431743825,0.07290813506470173,0.04313526431743825,0.02977287074726348,1.6902211269220677,False,False
undersigned,0.013410139980896496,0.04316629709634802,0.013410139980896496,0.02975615711545152,3.2189296426316845,False,True
benefits,0.018115479078484178,0.04777449568904604,0.018115479078484178,0.029659016610561865,2.6372195558321163,True,False
promote,0.010599222284179782,0.040230953751653684,0.010599222284179782,0.0296317314674739,3.7956514801752688,False,True
fair,0.03385085232593528,0.06337419719848449,0.03385085232593528,0.029523344872549206,1.8721595718855653,False,True
attention,0.02568880571914527,0.05500549077294915,0.02568880571914527,0.029316685053803884,2.141224133746118,False,True
lead,0.026483067779634748,0.055646763480239454,0.026483067779634748,0.029163695700604706,2.1012204455796217,False,True
actions,0.026444028969086486,0.05560769844319023,0.026444028969086486,0.029163669474103746,2.102845164335456,False,True
risk,0.04586151754234682,0.07501077047119775,0.04586151754234682,0.029149252928850934,1.6355928562969073,True,False
overall,0.010962687781990929,0.040086547423004534,0.010962687781990929,0.029123859641013605,3.656634962172063,False,True
make,0.24624375352659142,0.27533638453076775,0.24624375352659142,0.029092631004176334,1.1181456609052,True,False
communities,0.028512294350447,0.05758625137619655,0.028512294350447,0.029073957025749553,2.0196989645378625,False,True
increase,0.0449108317314175,0.07394768240590442,0.0449108317314175,0.02903685067448692,1.6465444872661779,True,False
growth,0.011066962501642212,0.039812089164968256,0.011066962501642212,0.028745126663326043,3.5973817711102387,False,True
creating,0.021103447357937483,0.04950192075040486,0.021103447357937483,0.02839847339246738,2.3456793532733444,False,True
issues,0.05439999909614307,0.08266238950843979,0.05439999909614307,0.028262390412296723,1.5195292441521475,True,False
social,0.051868413672164125,0.08003715814155174,0.051868413672164125,0.028168744469387615,1.5430808940375353,True,False
across,0.05172614006834401,0.0798170300598263,0.05172614006834401,0.028090889991482286,1.5430695187069194,False,False
everyone,0.080428896605187,0.1081018804909628,0.080428896605187,0.027672983885775798,1.344067680321641,False,False
measures,0.013168750375229415,0.04078234641030229,0.013168750375229415,0.027613596035072872,3.0969032936499725,False,True
particularly,0.018456810052067302,0.045949205559897,0.018456810052067302,0.027492395507829694,2.4895529308841935,False,True
respect,0.02473188838885988,0.051975123228578946,0.02473188838885988,0.027243234839719067,2.101542850726691,False,True
bureau,0.001156815369122788,0.028397787249767638,0.001156815369122788,0.02724097188064485,24.548245128608254,False,True
quality,0.027019322028550702,0.05424419210314289,0.027019322028550702,0.027224870074592185,2.0076074464719835,False,True
fostering,0.0009482659298202202,0.028079231756622525,0.0009482659298202202,0.027130965826802304,29.611136363346947,False,True
enhance,0.0029047881576506076,0.02988645665133158,0.0029047881576506076,0.026981668493680975,10.288687170738037,False,True
improve,0.028712534686796343,0.05567288070665866,0.028712534686796343,0.02696034601986232,1.9389747827543842,False,True
the,0.9277452049924585,0.9546866851934716,0.9277452049924585,0.026941480201013057,1.0290397407133267,False,False
signature,0.01058643678928442,0.03750787261774212,0.01058643678928442,0.0269214358284577,3.543012003406807,False,True
place,0.08151950765893078,0.1084322064962363,0.08151950765893078,0.02691269883730553,1.3301381425155987,False,False
development,0.038015961423389026,0.06488160030419096,0.038015961423389026,0.026865638880801936,1.706693659055353,True,False
situation,0.03311015212613634,0.059924531553188984,0.03311015212613634,0.026814379427052643,1.8098537066486635,False,True
critical,0.011915072503236035,0.03858286708234757,0.011915072503236035,0.026667794579111538,3.2381562992477626,False,True
urgent,0.013729321127246305,0.040279518409788856,0.013729321127246305,0.02655019728254255,2.9338317631636412,False,True
being,0.225654908961899,0.25209445350476306,0.225654908961899,0.02643954454286407,1.1171680450671175,False,False
commitment,0.010375720674114235,0.03675247388218837,0.010375720674114235,0.026376753208074137,3.542161073580163,False,True
urging,0.0020439641812648747,0.028403524006271427,0.0020439641812648747,0.026359559825006554,13.896292443194556,False,True
safe,0.06732746199181945,0.09351160586983849,0.06732746199181945,0.02618414387801904,1.3889073359278048,True,False
increased,0.026058571987254225,0.0522265146338227,0.026058571987254225,0.026167942646568472,2.0041971087044885,False,True
individual,0.019101672372369777,0.045188888816772535,0.019101672372369777,0.026087216444402758,2.365703271203491,False,True
resources,0.019477708804765934,0.045243432521031586,0.019477708804765934,0.025765723716265652,2.322831344000847,False,True
