source,quarter,n,var_lex,mean_mtld,mean_burst,mean_cos
changeorg_au,2022Q4,2331,1.3923890360612396,76.64068,0.58359146,0.11696913522691584
changeorg_au,2023Q1,2783,0.5871275273479926,75.34442,0.5777987,0.13789516429805276
changeorg_au,2023Q2,2605,1.2887062196122119,77.91589,0.55855894,0.13575417370053391
changeorg_au,2023Q3,2332,1.0779382567761726,79.20798,0.5560935,0.13275113359767587
changeorg_au,2023Q4,2634,1.6574453265970028,81.41362,0.55744505,0.12462260030621859
changeorg_au,2024Q1,2905,4.366495366769462,108.8683,0.47388348,0.1559793842258166
changeorg_au,2024Q2,2985,5.09681639298876,102.363235,0.474502,0.1568114498272613
changeorg_au,2024Q3,2707,2.678355613347014,94.97255,0.48906052,0.15709790407113694
changeorg_au,2024Q4,2644,2.8161873939744106,96.35992,0.4909341,0.14592980773005654
changeorg_treated,2022Q1,56782,0.9346496878266722,76.04088,0.5696609,0.1095855130142902
changeorg_treated,2022Q2,50761,1.155307801886955,75.86059,0.5769559,0.10794546462782663
changeorg_treated,2022Q3,38570,0.8813667292434351,76.51639,0.58053255,0.09705768834406407
changeorg_treated,2022Q4,37494,0.957368652928672,76.31121,0.57966167,0.1072648398241206
changeorg_treated,2023Q1,46584,1.1116655169438143,74.447205,0.5724764,0.11462039199905778
changeorg_treated,2023Q2,43225,2.4413986457252075,80.35545,0.54863876,0.10800683103015075
changeorg_treated,2023Q3,36957,3.7940133557553444,99.536514,0.54717594,0.11268644246623744
changeorg_treated,2023Q4,46337,6.3091021648260845,109.982185,0.47614634,0.13733106450219848
changeorg_treated,2024Q1,47949,6.758868668232817,111.60977,0.47053507,0.14015634814698494
changeorg_treated,2024Q2,43452,7.939716874344417,103.14679,0.47307885,0.15221424505339196
changeorg_treated,2024Q3,41094,4.34510825545562,96.34324,0.4856998,0.13640063108511308
changeorg_treated,2024Q4,40660,4.523066007653528,97.29901,0.48785254,0.13557235641096105
uk_2019,2020Q1,5504,1.0351706941699315,69.055916,0.47483107,0.26597101719535177
uk_2019,2020Q2,5556,1.0332883034376965,68.618546,0.48327163,0.2024657467022613
uk_2019,2020Q3,3296,0.9944402231168197,71.11144,0.48331156,0.1834135521356784
uk_2019,2020Q4,4375,1.1866411112592832,69.239044,0.49178147,0.20496665456187185
uk_2019,2021Q1,5134,1.035328199691476,69.60927,0.48601314,0.2101873625942211
uk_2019,2021Q2,2583,1.0000360175167617,68.607956,0.4858972,0.16010015899811558
uk_2019,2021Q3,2483,0.689900558015845,69.74862,0.48636097,0.17476124519079775
uk_2019,2021Q4,1846,1.1743238988068148,69.847626,0.4851328,0.18474966384657662
uk_2019,2022Q1,2376,1.0531615159689285,66.99639,0.4878046,0.1855905994817839
uk_2019,2022Q2,1762,0.814700323372318,67.070305,0.47939423,0.1751637214392274
uk_2019,2022Q3,1367,0.6650044888574711,66.6499,0.48905814,0.16819063579616833
uk_2019,2022Q4,1542,1.0626644533127199,66.41534,0.48904416,0.18043297542399497
uk_2019,2023Q1,1468,1.6698220975090687,67.90626,0.4876506,0.1837063000549623
uk_2019,2023Q2,1224,1.259835602447865,68.5267,0.47842383,0.1646364635678392
uk_2019,2023Q3,1402,1.7919108156218622,66.3826,0.49041945,0.17864552253454774
uk_2019,2023Q4,1251,2.0746907223910376,67.15551,0.47882318,0.16933706619032662
uk_2019,2024Q1,1274,2.6264644524079763,65.516594,0.45901915,0.1677060227897299
uk_2019,2024Q2,411,1.9935495835664234,65.34306,0.45989472,0.17688678990656406
